2017-11-17-10-48-56    UserID [0]    Transaction Complete 
2017-11-17-10-48-56    UserID [1]    Transaction Complete 
2017-11-17-10-48-57    UserID [0]    Transaction Complete 
2017-11-17-10-48-57    UserID [1]    Transaction Complete 
2017-11-17-10-48-57    UserID [1]    Transaction Complete 
2017-11-17-10-48-57    UserID [0]    Transaction Complete 
2017-11-17-10-48-57    UserID [1]    Transaction Complete 
2017-11-17-10-48-57    UserID [0]    Transaction Complete 
2017-11-17-10-48-57    UserID [1]    Transaction Complete 
2017-11-17-10-48-57    UserID [0]    Transaction Complete 
2017-11-17-10-48-58    UserID [1]    Transaction Complete 
2017-11-17-10-48-58    UserID [0]    Transaction Complete 
2017-11-17-10-48-58    UserID [0]    Transaction Complete 
2017-11-17-10-48-58    UserID [1]    Transaction Complete 
2017-11-17-10-48-58    UserID [0]    Transaction Complete 
2017-11-17-10-48-58    UserID [1]    Transaction Complete 
2017-11-17-10-48-58    UserID [1]    Transaction Complete 
2017-11-17-10-48-58    UserID [0]    Transaction Complete 
2017-11-17-10-48-59    UserID [1]    Transaction Complete 
2017-11-17-10-48-59    UserID [0]    Transaction Complete 
2017-11-17-10-48-59    UserID [1]    Transaction Complete 
2017-11-17-10-48-59    UserID [0]    Transaction Complete 
2017-11-17-10-48-59    UserID [0]    Transaction Complete 
2017-11-17-10-48-59    UserID [1]    Transaction Complete 
2017-11-17-10-48-59    UserID [0]    Transaction Complete 
2017-11-17-10-48-59    UserID [1]    Transaction Complete 
2017-11-17-10-49-0    UserID [1]    Transaction Complete 
2017-11-17-10-49-0    UserID [0]    Transaction Complete 
2017-11-17-10-49-0    UserID [0]    Transaction Complete 
2017-11-17-10-49-0    UserID [1]    Transaction Complete 
2017-11-17-10-49-0    UserID [0]    Transaction Complete 
2017-11-17-10-49-0    UserID [1]    Transaction Complete 
2017-11-17-10-49-0    UserID [0]    Transaction Complete 
2017-11-17-10-49-0    UserID [1]    Transaction Complete 
2017-11-17-10-49-1    UserID [1]    Transaction Complete 
2017-11-17-10-49-1    UserID [0]    Transaction Complete 
2017-11-17-10-49-1    UserID [0]    Transaction Complete 
2017-11-17-10-49-1    UserID [1]    Transaction Complete 
2017-11-17-10-49-1    UserID [1]    Transaction Complete 
2017-11-17-10-49-1    UserID [0]    Transaction Complete 
2017-11-17-10-49-1    UserID [0]    Transaction Complete 
2017-11-17-10-49-1    UserID [1]    Transaction Complete 
2017-11-17-10-49-2    UserID [1]    Transaction Complete 
2017-11-17-10-49-2    UserID [0]    Transaction Complete 
2017-11-17-10-49-2    UserID [1]    Transaction Complete 
2017-11-17-10-49-2    UserID [0]    Transaction Complete 
2017-11-17-10-49-2    UserID [1]    Transaction Complete 
2017-11-17-10-49-2    UserID [0]    Transaction Complete 
2017-11-17-10-49-2    UserID [1]    Transaction Complete 
2017-11-17-10-49-2    UserID [0]    Transaction Complete 
2017-11-17-10-49-3    UserID [0]    Transaction Complete 
2017-11-17-10-49-3    UserID [1]    Transaction Complete 
2017-11-17-10-49-3    UserID [0]    Transaction Complete 
2017-11-17-10-49-3    UserID [1]    Transaction Complete 
2017-11-17-10-49-3    UserID [0]    Transaction Complete 
2017-11-17-10-49-3    UserID [1]    Transaction Complete 
2017-11-17-10-49-3    UserID [0]    Transaction Complete 
2017-11-17-10-49-3    UserID [1]    Transaction Complete 
2017-11-17-10-49-4    UserID [1]    Transaction Complete 
2017-11-17-10-49-4    UserID [0]    Transaction Complete 
2017-11-17-10-49-4    UserID [1]    Transaction Complete 
2017-11-17-10-49-4    UserID [0]    Transaction Complete 
2017-11-17-10-49-4    UserID [0]    Transaction Complete 
2017-11-17-10-49-4    UserID [1]    Transaction Complete 
2017-11-17-10-49-4    UserID [0]    Transaction Complete 
2017-11-17-10-49-4    UserID [1]    Transaction Complete 
2017-11-17-10-49-5    UserID [1]    Transaction Complete 
2017-11-17-10-49-5    UserID [0]    Transaction Complete 
2017-11-17-10-49-5    UserID [1]    Transaction Complete 
2017-11-17-10-49-5    UserID [0]    Transaction Complete 
2017-11-17-10-49-5    UserID [1]    Transaction Complete 
2017-11-17-10-49-5    UserID [0]    Transaction Complete 
2017-11-17-10-49-5    UserID [1]    Transaction Complete 
2017-11-17-10-49-5    UserID [0]    Transaction Complete 
2017-11-17-10-49-6    UserID [0]    Transaction Complete 
2017-11-17-10-49-6    UserID [1]    Transaction Complete 
2017-11-17-10-49-6    UserID [0]    Transaction Complete 
2017-11-17-10-49-6    UserID [1]    Transaction Complete 
2017-11-17-10-49-6    UserID [0]    Transaction Complete 
2017-11-17-10-49-6    UserID [1]    Transaction Complete 
2017-11-17-10-49-6    UserID [0]    Transaction Complete 
2017-11-17-10-49-6    UserID [1]    Transaction Complete 
